datetime,open,high,low,close,volume
2026-03-06 06:30:00,70425.91,70457.26,70379.21,70392.25,64.77427
2026-03-06 06:35:00,70392.25,70600.0,70379.42,70529.62,57.49352
2026-03-06 06:40:00,70529.62,70677.66,70475.98,70669.01,92.1866
2026-03-06 06:45:00,70669.02,70853.37,70621.03,70741.8,109.05925
2026-03-06 06:50:00,70741.8,70741.8,70590.0,70595.84,48.79732
2026-03-06 06:55:00,70595.84,70664.0,70575.0,70597.23,69.74547
2026-03-06 07:00:00,70597.23,70800.0,70597.23,70778.83,101.59631
2026-03-06 07:05:00,70778.83,70813.45,70653.45,70653.46,50.83614
2026-03-06 07:10:00,70653.46,70667.45,70468.97,70553.66,64.13726
2026-03-06 07:15:00,70553.66,70662.0,70546.87,70654.0,24.32807
2026-03-06 07:20:00,70653.99,70765.68,70653.99,70744.37,54.26302
2026-03-06 07:25:00,70744.37,70878.24,70702.25,70858.5,45.62127
2026-03-06 07:30:00,70858.5,71025.6,70858.5,70955.27,68.37855
2026-03-06 07:35:00,70955.27,70999.13,70874.93,70890.18,77.50271
2026-03-06 07:40:00,70890.18,71082.52,70890.17,71075.56,67.21955
2026-03-06 07:45:00,71075.56,71192.76,71052.55,71116.17,87.8059
2026-03-06 07:50:00,71116.18,71133.94,71082.11,71117.99,69.49625
2026-03-06 07:55:00,71118.0,71118.0,71040.94,71056.44,70.87283
2026-03-06 08:00:00,71056.44,71067.58,70938.86,70951.48,85.36096
2026-03-06 08:05:00,70951.48,70986.4,70898.23,70935.76,71.10073
2026-03-06 08:10:00,70935.76,70982.0,70890.28,70941.69,54.99205
2026-03-06 08:15:00,70941.69,70993.49,70886.0,70979.19,20.42128
2026-03-06 08:20:00,70979.18,70984.29,70876.45,70904.61,33.50401
2026-03-06 08:25:00,70904.6,70964.7,70833.58,70934.14,50.5435
2026-03-06 08:30:00,70934.13,71021.7,70870.4,70935.9,33.87774
2026-03-06 08:35:00,70935.91,71021.41,70878.31,70912.93,34.87525
2026-03-06 08:40:00,70912.93,71026.42,70900.0,70914.05,31.0005
2026-03-06 08:45:00,70914.05,70946.17,70900.0,70909.49,70.21631
2026-03-06 08:50:00,70909.5,70909.5,70800.03,70822.86,51.39883
2026-03-06 08:55:00,70822.85,70827.36,70735.85,70789.49,32.13453
2026-03-06 09:00:00,70789.49,70808.65,70731.2,70787.93,69.55059
2026-03-06 09:05:00,70787.92,70793.97,70624.21,70673.9,38.22032
2026-03-06 09:10:00,70673.9,70673.9,70520.38,70572.0,95.03211
2026-03-06 09:15:00,70573.24,70603.6,70400.0,70590.1,52.03184
2026-03-06 09:20:00,70590.1,70590.11,70458.44,70458.45,31.01172
2026-03-06 09:25:00,70458.44,70476.19,70360.44,70411.58,78.00948
2026-03-06 09:30:00,70411.57,70453.06,70312.63,70332.36,58.79761
2026-03-06 09:35:00,70332.36,70460.11,70317.19,70356.45,60.18344
2026-03-06 09:40:00,70356.44,70555.53,70300.0,70551.88,52.68367
2026-03-06 09:45:00,70551.88,70614.65,70453.05,70485.68,39.07069
2026-03-06 09:50:00,70485.68,70576.15,70478.62,70499.03,23.76484
